question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What are 4 Indications for Plate Fixation of Olecranon fractures?,Comminuted fractures Monteggia fractures Fracture-Dislocations Oblique fractures that Extend Distal to Coronoid,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,monteggia fracture,plate fixation
"For Olecranon fractures, what are 3 indications for Excision of Fragment and Triceps Advancement?",Elderly patients with osteoporotic bone Fracture must involve <50% of joint surface Nonunions,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"For Olecranon fractures, what are 2 Downsides of Excision of Fragment and Triceps Advancement?",Salvage Procedure that leads to Decreased Extension Strength  May result in Instability if Ligamentous injury is Not Diagnosed Before operation,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"For Olecranon fractures, how does a Tension Band Technique work?",Converts Distraction Force of Triceps into a Compressive force,Cons: High % of Second Surgeries for Hardware Removal (40-80%) Does NOT provide Axial stability in Comminuted fractures,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"With Tension Banding Technique for Olecranon fractures, name 2 Complications that may occur with OVERPENETRATION of Wires through ANTERIOR Cortex?",Injury to AIN May Lead to Decreased Forearm Rotation,,shoulderelbow,forearm,,,,shoulderelbow,forearm,,,
What Percentage of Femur Fractures are Subtrochanteric?,7 to 34%,,trauma,thigh,,,,trauma,femur,femur,,
Which Side of the Proximal Femoral Shaft Cortex during Weightbearing is the Tensile vs. the Compressive side?,"Weight-bearing leads to Net Compressive Forces on Medial Cortex, and Tensile Forces on Lateral cortex",,recon,thigh,femoral shaft,,,recon,femoral shaft,femoral shaft,,
Russel-Taylor Classification for Subtroch fx was Historically used for what Purpose?,To Differentiate between Fractures that would amenable to an Intramedullary Nail (type I) and those that required some form of a Lateral Fixed Angle Device (type II),,trauma,thigh,,,,trauma,femur,femur,,
What are 3 Recommended Views to Obtain for Subtrochanteric Femur Fractures?,AP and Lateral of the Hip AP pelvis Full Length Femur films including the Knee,,trauma,thigh,,,,trauma,femur,femur,,
Why is Nonoperative management of Subtrochanteric Femur Fractures most likely to FAIL and Rarely Indicated?,Strong Muscular Forces Displacing fracture and Inability to Mobilize patients Without Surgical intervention,,trauma,hip,,,,trauma,subtrochanteric femur,subtrochanteric femur,,
Most Subtrochanteric Femur fractures are Treated with What Device?,Intramedullary Nailing (usually Cephalomedullary),Indications: Historically Russel-Taylor type I fractures Newer design of intramedullary nails has expanded indications Most Subtrochanteric fractures treated with IM nail,trauma,thigh,,,intramedullary nailing,trauma,femur,femur,,
When might you use an Intramedullary nail to treat an Incomplete Subtrochanteric Femur Fracture?,Patients on Bisphosphonate therapy with Pain and Radiographic Evidence of Stress fracture,,trauma,thigh,,,,trauma,femur,femur,,
"For Subtrochanteric Femur Fracture, what are 3 Relative indications to use a Fixed Angle Plate?",Associated Femoral Neck fracture  Narrow Medullary canal  Pre-existing Femoral Shaft Deformity,,trauma,thigh,,,,trauma,femur,femur,,
"For Subtrochanteric Femur Fractures Treatment, what are 2 Advantages of Lateral positioning?","Allows for Easier Reduction of the DISTAL Fragment to the Flexed Proximal fragment  Allows for Easier Access to Entry portal, especially for Piriformis nail",Allows people's fat belly to fall away and give access to the proximal starting point,trauma,thigh,,,,trauma,femur,femur,,
"For Subtrochanteric Femur Fracture Treatment, what are 3 Advantages of Supine positioning?",Protective to the Injured Spine Address other Injuries in Polytrauma patients  Easier to Assess Rotation,,trauma,spine,,,,trauma,supine position,supine position,,
"For Subtrochanteric Femur Fracture Treatment, why may Piriformis Entry Nails be Beneficial compared to Trochanteric entry?",Piriformis nail may MITIGATE Risk of Iatrogenic Malreduction from Proximal Valgus Bend of Trochanteric Entry nail,Often times to medial of a start point and hard to get because people are too fat   Piriformis Nail Stabilization:,trauma,thigh,,,,trauma,femur,femur,,
"For Subtrochanteric Femur Fracture Treatment, What are 3 Pros of using IMN compared to DHS?",Preserves Vascularity Load-Sharing implant Stronger Construct in Unstable fracture patterns,,trauma,thigh,,,,trauma,femur,femur,,
"For Subtrochanteric Femur Fracture Treatment, What are 2 CONS of using IMN?",Technically Difficult Mismatch of Radius of Curvature,Nails with a Larger Radius of Curvature (Straighter) can lead to Perforation of the Anterior Cortex of the DISTAL Femur,trauma,thigh,,,,trauma,femur,femur,,
What Arterial structures are in Danger during the Lateral approach to the Proximal Femur?,Perforating Branches of Profunda Femoris,At risk within Vastus Lateralis Dissection Should be Ligated to Prevent Hematoma,trauma,hip,proximal femur,,,trauma,proximal femur,proximal femur,,
What are 2 Types of Fixed Angle Plates used to Treat Subtrochanteric Femur Fractures?,95 Degree Blade plate Condylar screw,,trauma,thigh,,,,trauma,femur,femur,,scr
"With Treatment of Subtrochanteric Femur Fractures, How can a Blade Plate function as a Tension Band Construct?",Femur Eccentrically Loaded with Tensile force on the Lateral cortex converted to Compressive force on Medial cortex,"In order for a fracture to be successfully treated with tension band principles the bone must be eccentrically loaded, the construct must be applied on the tensile side, and the opposite cortex must be able to withstand compressive forces.   Tension bands function by converting distraction forces into compressive forces that are evenly distributed across a fracture site, to create an environment favourable for fracture healing.",trauma,thigh,,,,trauma,femur,femur,,
"With Treatment of Subtrochanteric Femur Fractures, what are 2 Cons to using Fixed Angle Plates?",Compromise Vascularity of Fragments Inferior Strength in Unstable Fracture patterns,,trauma,thigh,,,,trauma,femur,femur,,
"With Treatment of Subtrochanteric Femur Fractures, what is the most Frequent Intraoperative Complication with Antegrade Nailing?",Varus / Procurvatum::Hint Malreduction pattern,,trauma,thigh,,,,trauma,femur,femur,,
What is the Treatment of a Subtrochanteric Femur Fracture Varus Nonunion?,Plating,,trauma,thigh,,,,trauma,femur,femur,,
What are 2 Potential Complications when using IMN for Bisphosphonate-related Fractures?,Increased risk of Iatrogenic fracture (because of Brittle Bone and Cortical Thickening) Increased risk of Nonunion with Nail fixation resulting in Increased need for Revision Surgery,Bisphosphonates must be Discontinued - High rate of Progression to Fracture of Contralateral Femur,trauma,thigh,,,,trauma,femur,femur,,
What is a Potential Complication when using Plate Fixation for Bisphosphonate-related Fractures?,Increased risk of Hardware Failure,Because of Varus Collapse and dependence on Intramembranous Healing Inhibited by Bisphosphonates,trauma,thigh,,,,trauma,bone (specifically femur),bone (specifically femur),,plate fixation
What is the Most Common Complication seen with the use of a CMN for Treatment of an Intertrochanteric Femur Fracture?,Implant Failure & Screw Cutout,CMN:   Screw Cutout:,trauma,hip,,,,trauma,hip,,,scr
How is the Diagnosis of Patella Fracture made?,Clinically: Inability to perform Straight Leg Raise Confirmation: Radiographs,,trauma,knee,,,,trauma,knee,,,
What % of Patella Fractures are OPEN?,6-9%,,trauma,knee,,,,trauma,knee,,,
What are the 2 Primary Mechanisms of Injury for Patella Fractures?,"Direct Impact - due to Fall, Dashboard injury or other High Energy mechanism Indirect Eccentric Contraction - Occurs from Rapid Knee Flexion against Contracted Quadriceps muscle",,trauma,knee,,,,trauma,knee,,,
What Patella Fracture Pattern is often seen in case of a Direct Impact?,Comminuted Fracture pattern with Chondral Damage,,trauma,knee,,,,trauma,knee,,,
What Patella Fracture Pattern is often seen in case of Indirect Eccentric Contraction?,Transverse Fracture or Inferior Pole Avulsion,,sports,knee,,,,sports,knee,,,
What Patella Fracture injury pattern do you need to consider in the Skeletally Immature?,Patella Sleeve fracture,"""Seen in the pediatric population (8-10-year-olds) High index of suspicion required Patellar Sleeve Fractures are rare injuries seen in children between 8 and 12 years of age characterized by separation of the cartilage """"sleeve"""" from the ossified patella.""",peds,knee,,,,peds,knee,,,
What portion of the Patella Undersurface is Covered by Cartilage?,Superior 3/4 of Posterior Surface,Inferior 1/4 DEVOID of cartilage,recon,knee,patella,,,recon,patella,patella,,
What are the Attachments of the MPFL?,Femoral: Between Medial Epicondyle and Adductor Tubercle Patellar: Upper 2/3 of MEDIAL Patella,,sports,knee,,,,sports,knee,,,
What 3 Structures is the Patellar Retinaculum Formed by?,"Fascia Lata, Vastus Medialis and Vastus Lateralis",,sports,knee,,,,sports,knee,,,
How does the Patella function to Improve the Mechanical Advantage of the Extensor Mechanism?,Increases Power and Mechanical Advantage by 30-50% by Displacing it Anteriorly AWAY from the Center of Rotation,,sports,knee,,,,sports,knee,,,
What does the Degree of Patellar Fracture Displacement Correlate with?,Degree of Retinacular Disruption,,trauma,knee,,,,trauma,knee,,patellar fracture,
"With Patellar Fractures, what are 4 indications for obtaining a CT?",Suspected Distal Pole Comminution Patellar Stress fracture Nonunion Malunion,,trauma,knee,,,,trauma,knee,,patellar fracture,
What are 4 indications for Nonoperative management of Patella fractures?,Intact Extensor Mechanism (patient able to perform straight leg raise) Nondisplaced or Minimally displaced fractures Vertical fracture patterns Significant Medical Comorbidities,,trauma,knee,,,,trauma,knee,,,
What are 7 indications for ORIF of Patella fractures?,Extensor Mechanism FAILURE (patient UNABLE to perform straight leg raise) Open fractures Fracture Articular Step-off > 2-3 mm Displaced Articular Patella Gap > 3 mm Loose bodies Osteochondral fractures Patella Sleeve Fractures in Children,osteochondral fracture of patella involves articular surface,trauma,knee,,,orif,trauma,knee,,,
"When considering a Tension Band construct for Patella fractures, what 4 Variations can be utilized?",K-wires + Wire K-wires + Suture Cannulated Screws + Wire Cannulated Screws + Suture,,trauma,knee,,,,trauma,knee,,,scr
What are the 2 primary types of Plates utilized for Patella fractures?,Mini-Fragment plate Mesh plate,,trauma,knee,,,,trauma,knee,,,
In what Patella Fracture Pattern might a Plate/Screw(s) Construct be Preferred to a Tension Band construct?,Cases of Significant Articular-sided Comminution,,trauma,knee,,,,trauma,knee,,,scr
What is the recommended Postoperative Protocol after Patella Fracture ORIF?,WBAT in Hinged Knee Brace with flexion limited to 30º for 4 weeks and progressed incrementally thereafter,,trauma,knee,,,orif,trauma,knee,,,
What Percent of Pediatric Elbow fractures are Medial Epicondyle fractures?,Up to 20%,,peds,elbow,,,,peds,elbow,,,
What is the Most Common Gender and Age range for Medial Epicondyle fractures?,75% occur in boys between the ages of 9 and 14 years,,,elbow,,,,pediatrics (peds),elbow,,,
"When associated with an Elbow Dislocation, what Percent of Medial Epicondyle fracture Fragments remain Incarcerated in the Joint?",15%,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
Does the Elbow Medial Epicondyle Ossification Center contribute to Longitudinal Growth?,NO,"""Last to fuse in elbow - Labeled """"I"""" in Image Below""",shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What is the ANTERIOR Blood Supply of the Medial Epicondyle Ossification Center?,Branches of Inferior Ulnar Collateral artery,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What is the POSTERIOR Blood Supply of the Medial Epicondyle Ossification Center?,Branches of Superior and Inferior Ulnar Collateral artery,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What are 4 findings on physical exam of Medial Epicondyle fractures?,Valgus Instability Ecchymosis (especially with Direct Trauma) Ulnar nerve Dysfunction- motor and sensory function should be DOCUMENTED in ALL cases Generalized Swelling suggests elbow may have Dislocated,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"For Medial Epicondyle fractures, what is the most Accurate Imaging study?",CT,Most accurate but associated with increased radiation,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"For Medial Epicondyle fractures, what is the Main Indication for Non-Op management?",< 5mm displacement,"Immobilization (1-3 weeks) in a Long Arm Cast with elbow Flexed to 90 degrees  Controversial, Amount of true displacement difficult to determine on plain radiographs",shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"For Medial Epicondyle fractures, what are 4 Relative Indications for ORIF?","Ulnar nerve dysfunction > 2-15 mm displacement, also controversial > 2-5 mm in valgus stress athletes such as throwers or gymnasts Associated Elbow Dislocation",,shoulderelbow,elbow,,,orif,shoulderelbow,elbow,,,
"For Medial Epicondyle fractures, what are 3 ABSOLUTE Indications for ORIF?",Displaced fx with Entrapment of Medial Epicondyle fragment in Joint Extension to the Articular Surface with Medial Condyle involvement (articular surface) Open fracture,Entrapment in Joint:,shoulderelbow,elbow,,,orif,shoulderelbow,elbow,,,
"For Medial Epicondyle fractures, what is the typical patient Positioning for ORIF?","Supine and arm ABducted to 90 degrees, a Prone position also described",Orthobullets: Medial Approach to the Elbow  Screws are often CANNULATED,shoulderelbow,elbow,,,orif,shoulderelbow,elbow,,,
"For Medial Epicondyle fractures of the Elbow, where is the Incision made for ORIF?",Directly over the Medial Epicondyle,Orthobullets: Medial Approach to the Elbow,shoulderelbow,elbow,,,orif,shoulderelbow,elbow,,,
"For Medial Epicondyle fractures, what is the Intermuscular Interval for ORIF?",Brachialis / Triceps,Orthobullets: Medial Approach to the Elbow,shoulderelbow,elbow,,,orif,shoulderelbow,elbow,,,
"For Medial Epicondyle fractures, what is the risk of Overcompression with ORIF?",Iatrogenic Fracture with Screw Insertion,"Can add washer to improve fixation, but more prominent",shoulderelbow,elbow,,,orif,shoulderelbow,elbow,,,
"For ORIF of Medial Epicondyle fractures, what Fixation can be used Instead of a Screw for Small fragments?",K-wires indicated for smaller fragments or in Younger children,,shoulderelbow,elbow,,,orif,shoulderelbow,elbow,,,
"For ORIF of Medial Epicondyle fractures, where is the Ulnar nerve usually Identified?",Proximal to Distal (Easiest),,shoulderelbow,elbow,,,orif,shoulderelbow,elbow,,,
Are Most Medial Epicondyle fracture Non-unions Symptomatic?,NO,Odds of radiographic union are 9 times greater with surgery,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
