question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
What is the treatment of Legg-Calve-Perthes disease?,"Somewhat controversial.   Relief of symptoms with traction, antiinflammatories, partial weight bearing   Some may need surgery (osteotomy)",,,,hip,,legg_calve_perthes_disese,,,,,
"In Legg-Calve-Perthes disease, surgical treatment improves radiographic outcome at skeletal maturity for patients with what characteristics?",Older patients (chronologic age >8 years or bone age >6 years) with lateral pillar group B and B/C hips,,peds,,hip,,legg_calve_perthes_disese,,,,,
Slipped capital femoral epiphysis is caused by? Slippage occurs through?,Caused by weakness of the perichondrial ring   Slippage through the hypertrophic zone of the growth plate,,peds,,hip,,slipped_capital_femoral_epiphysis,,,,,
Name 3 hormonal disorders associated with SCFE. Which is most common?,hypothyroidism (most common)   growth hormone deficiency   renal osteodystrophy,,peds,,thigh,,slipped_capital_femoral_epiphysis,,,,,
What is the most common reason for missed diagnosis of SCFE?,When patients present with knee pain,,peds,,hip,,slipped_capital_femoral_epiphysis,,,,,
What physical exam finding is seen with SCFE?,obligate hip external rotation and flexion,,peds,,hip,,slipped_capital_femoral_epiphysis,,,,,
What is the classification for SCFE?,Stable: weight bearing possible; AVN rare   Unstable: weight bearing not possible; rate of AVN 50%,,peds,,thigh,,slipped_capital_femoral_epiphysis,,,,,
What is the treatment of SCFE?,in situ pinning (for stable and unstable),,peds,,thigh,,slipped_capital_femoral_epiphysis,,,,,
"In SCFE, when is prophylactic pinning of the contralateral hip generally recommended?",patients with an endocrinopathy   patients younger than 10   Patients with open triradiate cartilage,,peds,,hip,,slipped_capital_femoral_epiphysis,,,,,
"In SCFE, pins placed in what location have the highest rate of joint penetration?",anterior superior quadrant of the femoral head,,,,hip,,slipped_capital_femoral_epiphysis,,,,,
What is the most common cause of painful hips during childhood? What else should the patient be evaluated for?,"Transient synovitis   Evaluate for septic hip. Consider aspiration especially if fever, leukocytosis, elevated ESR",,peds,,hip,,transient_synovitis,,,,,
How is transient synovitis treated?,First rule out septic hip   Then treat with NSAIDs and observe. Symptoms should improve within 24 to 48 hours,,peds,,hip,,transient_synovitis,,,,,
What is the most common cause of acute hematogenous osteomyelitis?,"S. aureus, regardless of age",,peds,,non-anatomic,,,,,,,
What bacteria is associated with deep venous thrombosis and septic emboli?,MRSA,,trauma,,non-anatomic,,,,,,,
What is the treatment of acute hematogenous osteomyelitis in children? How can treatment be monitored? When should surgery be performed?,"Treat with IV antibiotics   Monitor therapeutic response with CRP, failure to decline within 48-72 hours warrants alteration of treatment   Perform operative drainage and debridement if failure to respond to antibiotics, frank pus on MRI, or the presence of a sequestered abscess",,peds,,non-anatomic,,,,,,,
What is the most common cause of septic arthritis in children?,hematogenous seeding of synovium,,peds,,non-anatomic,,,,,,,
What joints can develop septic arthritis via metaphyseal osteomyelitis? Why?,"hip, elbow, shoulder, ankle   metaphyses of proximal femur, proximal radius, proximal humerus, and distal tibia and fibula are intra-articular",,shoulderelbow,,elbow,,,,,,,
What are the Kocher criteria (4)?,"Pediatric criteria for diagnosis of septic arthritis of the hip   --WBC >12,000 --ESR >40 --Inability to bear weight --Temp > 101.5   If 3/4 positive then 90% chance of septic arthritis",,peds,,hip,,septic_arthritis,,,,,
What study should be considered when sepsis is caused by H. influenzae? Why?,lumbar puncture   increased incidence of meningitis,,peds,,non-anatomic,,,,,,,
What can be seen on radiographs in pediatric septic arthritis?,widened joint space or even dislocation,,peds,,non-anatomic,,septic_arthritis,,,,,
Why is septic arthritis in children and acute surgical emergency?,pus is chondrolytic,,peds,,non-anatomic,,septic_arthritis,,,,,
What is Blount's disease?,Progressive pathologic genu varum centered at the tibia   Divided into Infantile and adolescent,,peds,,knee,,blounts_disease,,,,,
What is the classification scheme in infantile Blount's disease?,Langenskiold classification   Type 1-4 have increasing medial metaphyseal breaking and sloping   Type 5 and 6 have epiphyseal-metaphyseal bone bridge,,peds,,leg,,blounts_disease,,,,,
What is the treatment of infantile blount disease?,"Stage I or II --Bracing if younger than 3 years (better outcomes if unilateral or nonobese)   Stage II (if >3 years) and Stage III: --Proximal osteotomy for tibia/fibula with valgus angulation to overcorrect deformity (because medial physeal growth abnormalities persist)   Stage IV to VI: --complex with multiple procedures required, epiphysiolys for stage V and VI disease",,peds,,hip,,blounts_disease,,,,,
What are the differences between infantile and adolescent Blount's disease?,"Infantile Blount's disease typically presents with pathologic genu varum in children aged 2-5 years, is more common, more likely to be bilateral, and affects males more than females. In contrast, adolescent Blount's disease occurs in individuals over 10 years of age, is less common, less severe, and more likely to be unilateral.",,peds,,knee,,blounts_disease,,,,,
How does adolescent Blount's disease typically manifest?,relatively normal appearing physis that shows widening of the proximal medial physeal plate. Beaking is not seen.,,peds,,hip,,blounts_disease,,,,,
What are the 3 types of tibial bowing?,Posteromedial Anteromedial Anterolateral,,,,leg,tibial shaft,,,,,,
What is posteromedial tibial bowing associated with? Treatment?,"Physiologic Commonly associated with leg length discrepancy, calcaneovalgus foot, and tight anterior structures   Usually spontaneously corrects, monitor patient to evaulate for leg length discrepancy",,footankle,,leg,tibial shaft,,,,,,
What is anteromedial tibial bowing associated with?,fibular hemimelia,,peds,,leg,tibial shaft,,,,,,
What are the 1st and 2nd most common causes of anterolateral tibial bowing? Initial treatment?,1) congenital pseudarthrosis 2) neurofibromatosis   Initial treatment with total-contact brace to prevent fracture,,peds,,leg,tibial shaft,,,,,,
Osteochondritis dissecans most frequently involves which portion of the knee? Treatment if growth plates are open?,"lateral portion of the medial femoral condyle   If growth plates are open, treat with bracing and restricted weight bearing",,sports,,knee,,osteochondritis_dissecans,,,,,
How is a discoid meniscus diagnosed on MRI? Treatment?,Appears on MRI in three successive sagittal images with the meniscal body presentd   Treat with saucerization or debridement,,sports,,knee,,,,,,,
How would you describe the clubfoot deformity?,"The clubfoot deformity is characterized by forefoot adductus and supination, as well as hindfoot equinus and varus.",,footankle,,foot,,,,,,,
What is seen on radiographs in clubfoot deformity?,parallelism of the calcaneus and talus,,footankle,,foot,,,,,,,
What is the initial treatment of clubfoot deformity? How is it done?,"Ponseti casting   Sequence of correction is CAVE: cavus, adducts, varus, equinus",,peds,,foot,,,,,,,
A dynamic forefoot adduction/supination may develop after clubfoot treatment as a result of what? Treatment?,Overpull of the anterior tibialis    Necessitates transfer of the anterior tibialis tendon laterally,,footankle,,foot,,,,,,,
What is an important complication of clubfoot surgery? Treatment?,Development of a dorsal bunion   Treat with: --capsulotomy --FHL lengthening --transfer of FHB to become a MTPJ extensor,,footankle,,foot,,,,,,,
What is a congenital vertical talus?,"An irreducible dorsal dislocation of the navicular bone on the talus, with a fixed equinus hindfoot deformity",,footankle,,foot,,,,,,,
What is seen on plantar flexion lateral radiographs in congenital vertical talus?,a line along the long axis of the talus that passes below the first metatarsal-cuneiform axis,,footankle,,midfoot,,,,,,,
What is the initial treatment of congenital vertical talus? When is surgery performed and what does it entail?,Initial treatment is corrective casting   Surgery when patient 6-12 months old --includes soft tissue releases and reduction of the talonavicular joint with reconstruction of the spring ligament,,footankle,,foot,,,,,,,
What are the 2 most common tarsal coalitions and their age groups?,Calcaneonavicular (10-12 years) Talocalcaneal (12-14 years),,footankle,,midfoot,,,,,,,
What may be seen on radiographs with tarsal coalitions? What is the best imaging modality?,talar beaking on the lateral view Irregular middle facet on the Harris axial view   CT scan reliably demonstrates the coalition,,footankle,,foot,,,,,,,
What is the initial treatment of tarsal coalition?,immoblization,,footankle,,midfoot,,,,,,,
What is the treatment of subtalar coalition?,Subtalar coalition involving less than 50% of the joint should be treated with resection and EDB interposition   If involvement more than 50% of joint subtalar arthrodesis is recommended,,footankle,,hip,,,,,,,
What is Kohler disease?,Kohler disease is a self-limiting sclerosis of the navicular bone.,,peds,,midfoot,,,,,,,
What is the treatment of flexible pes planus?,"Observation if asymptomatic   Surgical treatment is with calcaneal lengthening osteotomy or 3C (calcaneus, cuneiform, cuboid) osteotomy)",,footankle,,foot,,,,,,,
How does an accessory navicular manifest? Treatment?,"Medial arch pain, typicall self limiting   Excision of the accessory bone with reconstruction of the posterior tibial tendon in refractory cases",,footankle,,foot,,,,,,,
What is adolescent idiopathic scoliosis?  What angle is used to measure it?,An idiopathic scoliosis in children 10-18 years The most common type of scoliosis   Measure with Cobb angle >10 degrees defined as scoliosis,,peds,spine,thoracic spine,,,,,,,
What are the indications for MRI in adolescent idiopathic scoliosis (6)?,--Left thoracic curves --painful or rapidly progressing scoliosis --Apical kyphosis of the thoracic curve --Juvenile-onset scoliosis (age <10 years) --Neurologic signs or symptoms --Congenital abnormalities,,peds,spine,thoracic spine,,,,,,,
What are the risk factors for curve progression in adolescent idiopathic scoliosis?,--Skeletal immaturity (Risser stage 0 to 2) --Curve magnitude before or during peak height velocity (the period where maximum rate of growth occurs),,peds,spine,spine,,,,,,,
When does peak height velocity occur?,During Risser stage 0 Before the onset of menarche,,peds,spine,thigh,,,,,,,
What are the Risser stages?,"An indirect measure of skeletal maturity, whereby the degree of ossification of the iliac apophysis on radiographs is used to judge overall skeletal development. Useful in estimating prognosis of adolescent idiopathic scoliosis.",,peds,spine,pelvis,,,,,,,
What is the treatment of adolescent idiopathic scoliosis?,Use Cobb angle:   <25 degrees: observation   25-45 degrees and skeletally immature: bracing   25-45 degrees and skeletally mature: observation   >45 to 50 degrees: surgery,,peds,spine,thoracic spine,,,,,,,
What is juvenile idiopathic scoliosis?,An idiopathic scoliosis presenting between 4 and 10 years of age,,peds,spine,spine,,,,,,,
What transcription factor directs osteoblast differentiation?,RUNX2,,basicscience,,non-anatomic,,,,,,,
What substances are produced by osteoblasts?,"Osteoblasts produce type 1 collagen, alkaline phosphatase, osteocalcin, bone sialoprotein, and RANKL.",,basicscience,,non-anatomic,,,,,,,
