#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
The {{c1::teres minor}} can be tested using {{c2::Hornblowers (Patte) sign}} which is where patient has arm {{c3::90<sup>o</sup>&nbsp;abducted}}&nbsp;and {{c3::90<sup>o </sup>external rotated.}}&nbsp;Positive sign is weakness of external rotation	"<img src=""paste-3b31a6e76e91680488cc24163a453f0d87cb3582.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
{{c2::Subscapularis}} injury can be tested by looking at <b>internal rotation weakness at 0<sup>o</sup>&nbsp;abduction</b> or using tests such as<b>&nbsp;</b>{{c1::belly press}},<b> lift off</b>, or {{c3::internal rotation lag}}<b>&nbsp;sign&nbsp;</b>	"<img src=""paste-ce40cd6982d073558c7a7fee929575270999f8a6.jpg""><br><img src=""paste-b1413d28641a4e64d01ec9ccb6f2076f8557d9f5.jpg""><img src=""paste-4d553262ab802deacba0d86c6a7b7496bc98ae76.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
<b>Nonoperative </b>treatment of rotator cuff tears are <b>PT</b>, <b>NSAIDs</b>, and {{c1::subacromial steroid injections}}	"&nbsp;Avoid overhead activity, this is first line for most tears and partial tears<br><img src=""paste-aedd4289f620603123dda760a23e9e4de39fe20d.jpg""><br><img src=""paste-6233422d45a958bb7b2bb153b427ab370464e74d.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
Operative treatment for rotator cuff injury in patients with low grade partial articular side tears is {{c1::subacromial decompression and rotator cuff debridement}}	"Subacromial Decompression is an arthroscopic procedure designed to release the tight ligament of the coracoacromial arch and to shave away some of the under surface of the acromion. This raises the roof of the shoulder, allowing more room for the rotator cuff tendons to move underneath<span style=""color: rgb(102, 102, 102);""><br></span><img src=""paste-74a2bf7fc4807db7dcf5836bf3abb9b7d3918143.jpg""><span style=""color: rgb(102, 102, 102);""><br></span>"										OB::Shoulder/Elbow::RotatorCuffTears
<b><u>Subacromial Decompression and debridement</u></b>&nbsp;is an arthroscopic procedure designed to release the tight {{c1::coracoacromial}} ligament and shave away some of the under surface of the acromion to raises the roof of the shoulder, allowing more room for the rotator cuff tendons to move underneath	"<span style=""color: rgb(102, 102, 102);"">Treats impingement of superior cuff<br></span><img src=""paste-74a2bf7fc4807db7dcf5836bf3abb9b7d3918143.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
{{c2::Arthroscopic (or mini-open) rotator cuff repair}}&nbsp;is used to treat patients with <b>acute full thickness tears</b>, {{c1::bursal}}-sided tears <b>&gt;3mm Grade II &gt;25%</b>, partial articular side tear &gt;{{c3::<b>50% (Grade III</b>)}}, or {{c4::<b>PASTA</b> (partial articular supraspinatus tendon avulsion)}}&nbsp;with <b>&gt; 7 mm</b> of exposed bony footprint	"<img src=""paste-8561008784bdd657773be106135967799b26bae7.jpg"">"										OB::Shoulder/Elbow::RotatorCuffTears
<b><u>Massive rotator cuff tears</u></b> may require {{c1::tendon transfer}}<b>&nbsp;from the pectoralis major or latissimus dorsi</b> or also may need<b>&nbsp;</b>{{c1::rTSA}} in older patients with nonreparable cuffs											OB::Shoulder/Elbow::RotatorCuffTears
<b>Distal radius fractures</b> are associated with <b>soft tissue injuries </b>such as a {{c1::<b>triangular fibrocartilage complex </b>(<b>TFCC</b>)}} injury, {{c2::<b>scapholunate</b>}} ligament injury, {{c3::<b>lunotriquetral</b>}} ligament injury	"<div style=""display: inline !important;""><span style=""color: rgb(83, 114, 166);"">soft tissue injuries -&nbsp;</span>seen in 70%</div><div>TFCC injury (40%)&nbsp;<br>scapholunate ligament injury (30%)<br>lunotriquetral ligament injury (15%)<br><img src=""paste-84367e3636dcd94289b9eff06c80dbbd778a3f61.jpg""><br><img src=""paste-da9dadddb40959922718a7a2475239a606341e2c.jpg""><br></div>"										OB::Trauma::DistalRadius
Low energy, {{c2::volarly}} displaced, <b>extra</b>-<b>articular </b>fx is known as a {{c1::Smith's fracture}}	"<img src=""paste-3a748349144fdeefc6b1490dec941d8a0ffd4b36.jpg""><br><img src=""paste-d9444bfa0cfd0c09985fd551c74e4c76bbff9a81.jpg""><br><img src=""paste-3aef822a9378424668de49fca06ff63c0212d43b.jpg"">"										OB::Trauma::DistalRadius
Low energy, {{c1::dorsally}} displaced, <b>extra</b>-<b>articular </b>fx is knowns as a {{c2::Colles' fracture}}	"<img src=""paste-3aef822a9378424668de49fca06ff63c0212d43b.jpg""><br><img src=""paste-3a748349144fdeefc6b1490dec941d8a0ffd4b36.jpg"">"										OB::Trauma::DistalRadius
A {{c2::radial styloid}} fracture is also knowns as a {{c1::Chauffeur's fracture}}	"<img src=""paste-5cd474c46ba36d734c293006b3e9c9f433192bfd.jpg"">"										OB::Trauma::DistalRadius
"<span style=""color: rgb(35, 35, 35);"">Fracture-dislocation of <b>radiocarpal </b>joint with <b>intra-articular fx</b> involving the volar (anterior) or dorsal (posterior) lip is knowns as a&nbsp;</span>{{c1::Barton's fracture}}"	"<img src=""paste-81b47f5ac3a11c7edd53507cacba9d37a6f483a2.jpg""><br><img src=""paste-7ae622dc529fafe8d269634273d30030afbfbdc1.jpg"">"										OB::Trauma::DistalRadius
"<span style=""color: rgb(32, 33, 36);"">A&nbsp;</span>{{c1::die-punch fracture}}&nbsp;<span style=""color: rgb(32, 33, 36);"">is&nbsp;</span><b>a depression fracture of the&nbsp;lunate&nbsp;fossa of the distal radius that is caused by a vertical load through the lunate</b><span style=""color: rgb(32, 33, 36);"">.</span>"	"<img src=""paste-593b8d856e5a19e6f7f014233f4050f3aff71028.jpg""><br><img src=""paste-146f6755c3f6d867f277d2c85d81bb5449e42d8a.jpg"">"										OB::Trauma::DistalRadius
<b>Imaging for distal radius fractures </b>begin with <b>AP, lateral, and oblique views</b> to characterize fracture, {{c1::CT scan}} to evaluate intra-articular involvment and {{c1::MRI}} to examine soft tissue injury (TFCC, scapholunate, lunotriquetral)											OB::Trauma::DistalRadius
<b>Normal radial height </b>is {{c1::13}} mm and acceptible criteria is &lt; {{c1::5}} mm of shortening	"<img src=""paste-ab14ff618287bec111fba1b70e84c404cb9cf196.jpg"">"										OB::Trauma::DistalRadius
"Normal <b>radial inclination </b>is {{c1::23}}<sup>o</sup>&nbsp;and acceptible criteria is change &lt;{{c1::5}}<span style=""font-size: 13.3333px;""><sup>o</sup></span>"	"<img src=""paste-ab14ff618287bec111fba1b70e84c404cb9cf196.jpg"">"										OB::Trauma::DistalRadius
Normal <b>volar tilt </b>is {{c1::11}}<sup>o </sup>and <b>acceptable criteria </b>is dorsal angulation &lt;{{c2::5}}<sup>o </sup>or within {{c2::20}}<sup>o </sup>of contralateral distal radius	"<div>Volar tilt is <b>a measurement made on the lateral projection of the wrist as an angle of the distal radial surface with respect to a line perpendicular to the shaft</b>. &nbsp;&nbsp;</div><img src=""paste-4a365576290ba860fb9f84b4734e6772e368ec10.jpg""><div><img src=""paste-cbbc8ab80540f6242e8c9ceeb0b0e289d7a9ab93.jpg""><br></div>"										OB::Trauma::DistalRadius
"{{c2::Extra}}-articular<b> distal radius fractures</b> with &lt;{{c2::5}} mm radial shortening or dorsal angulation<span style=""color: rgb(35, 35, 35);"">&nbsp;&lt;&nbsp;</span>{{c2::5}}<span style=""color: rgb(35, 35, 35);"">° or within&nbsp;</span>{{c2::20}}<span style=""color: rgb(35, 35, 35);"">° of contralateral distal radius</span>&nbsp;can be managed&nbsp; {{c1::nonoperatively with closed reduction and splint/cast immobilization}}"	"<img src=""paste-b18327cb83aa135e7364c500b1359aabe04179f2.jpg"">"										OB::Trauma::DistalRadius
Distal radius fractures <b>beyond acceptable criteria </b>for radial height, radial inclination, articular stepoff, or volar tilt should be treated with {{c1::ORIF}}	"<img src=""paste-4f4f85e217dd3d8e1d90513061b9215cd60b4455.jpg"">"										OB::Trauma::DistalRadius
{{c1::Die-punch}} fracture, intraarticular fractures &gt;2mm, and associated ulnar fractures in the setting of distal radius fracture is treated with {{c2::ORIF}}	<div><div>A die-punch fracture is&nbsp;<b>a depression fracture of the lunate fossa of the distal radius that is caused by a vertical load through the lunate</b><br></div></div>										OB::Trauma::DistalRadius
"<span style=""color: rgb(32, 33, 36);"">The&nbsp;</span>{{c1::anterior interosseous nerve (AIN)}}<span style=""color: rgb(32, 33, 36);"">&nbsp;is the&nbsp;</span><b>terminal motor branch of the median nerve </b>and can be tested using an {{c2::O.K. sign}}"	"<img src=""paste-f2336061c44acb3300727570f9556d2b31cb0c66.jpg"">"										Ortho::Clerkships
"<span style=""color: rgb(32, 33, 36);"">The&nbsp;</span>{{c2::posterior interosseous nerve (PIN)}}<span style=""color: rgb(32, 33, 36);"">, aka the dorsal interosseous nerve, is&nbsp;</span><b>the continuation of the deep branch of the&nbsp;</b>{{c1::radial}}&nbsp;<b>nerve&nbsp;after it penetrates the&nbsp;supinator muscle</b><font color=""#202124"" style=""""><b>&nbsp;</b>and can be tested with a&nbsp;</font>{{c3::thumbs up}}<font color=""#202124"" style="""">&nbsp;sign</font>"	"<img src=""paste-726998dd02cfc227995f6bc79f228eb8d98847b5.jpg"">"										Ortho::Clerkships
{{c1::Ulnar}} nerve strength can be tested by having patients <b>cross</b> <b>their fingers</b>	"<img src=""paste-c3d59397db53f13affc7c44e6895870f4f84098b.jpg"">"										Ortho::Clerkships
{{c1::Garden}} classification of <b>subcapital </b>femoral neck fractures is the most widely used&nbsp;	"<img src=""paste-3a99b8e687d1492a62004dd4a632056cda785f84.jpg""><br><br><img src=""paste-facb3470714e57b0e134e5372c1302a12363ef80.jpg""><br>"										
<strong>Garden stage&nbsp;</strong>{{c1::I}} is an&nbsp;<b>undisplaced incomplete fx</b>, and is considered {{c1::<b>stable</b>}} and should be managed with {{c2::internal fixation (CRPP)}}<strong><br></strong>	"<span style=""color: rgb(61, 61, 61);"">In general, stage I and II are&nbsp;</span><em>stable&nbsp;</em><span style=""color: rgb(61, 61, 61);"">fractures and can be treated with internal fixation (head-preservation) and stage III and VI are&nbsp;</span><em>unstable&nbsp;</em><span style=""color: rgb(61, 61, 61);"">fractures and hence treated with arthroplasty (either hemi- or total arthroplasty<br></span><img src=""paste-facb3470714e57b0e134e5372c1302a12363ef80.jpg"">"										
<strong>Garden stage&nbsp;</strong>{{c1::II}} is an undisplaced complete fx that is considered {{c1::<b>stable</b>}} and should be managed with {{c2::internal fixation (CRPP)}}	"closed reduction percutaneous pinning<br><img src=""paste-facb3470714e57b0e134e5372c1302a12363ef80.jpg"">"										Ortho::Clerkships
<strong>Garden stage&nbsp;</strong>{{c1::III}} is a&nbsp;<b>complete fracture</b>, <b>partially displaced</b>&nbsp;and is considered {{c1::<b>unstable</b>}} and should be managed with {{c2::hemi or total arthroplasty}}	"<img src=""paste-facb3470714e57b0e134e5372c1302a12363ef80.jpg"">"										Ortho::Clerkships
<strong>Garden stage&nbsp;</strong>{{c1::IV}} is a&nbsp;<b>complete fracture</b>, <b>completely displaced</b>&nbsp;and is considered {{c1::<b>unstable</b>}} and should be managed with {{c2::hemi or total arthroplasty}}	"garden used for fem neck fractures<br><img src=""paste-facb3470714e57b0e134e5372c1302a12363ef80.jpg"">"										Ortho::Clerkships
"The <b>five most common cancers</b> that metastasize to the bone are remembered with mneumonic ""{{c5::BLT Kosher Pickle}}"" {{c1::breast}}, {{c1::lungs}}, {{c3::thyroid}}, {{c4::kidney}}, and {{c2::prostate}}<br><br><b>Lytic Mets: </b>{{c6::Lung}}, {{c6::thyroid}}, and {{c6::kidney}}<br><br><b>Blastic Mets:&nbsp;</b>{{c6::Breast}}&nbsp;and&nbsp;{{c6::Prostate}}"	BLT and kosher pickle										MillerReview::Ch9::Section1
"{{c1::Adamantinoma}}&nbsp;<span style=""color: rgb(32, 33, 36);"">is&nbsp;</span><b>a rare bone cancer </b>that<span style=""color: rgb(32, 33, 36);"">&nbsp;often starts as a lump in the </span><span style=""color: rgb(32, 33, 36);"">tibia or fibula and presents with&nbsp;</span>pain, swelling, limping and decreased movement."	"<span style=""color: rgb(32, 33, 36);"">Adamantinoma can also occur in the jaw bone (mandible) or, sometimes, the forearm, hands, or feet.</span>"										MillerReview::Ch9::Section1
"<span style=""color: rgb(32, 33, 36);"">A&nbsp;</span>{{c2::chondroblastoma}}&nbsp;<span style=""color: rgb(32, 33, 36);"">is&nbsp;</span><b>a rare type of noncancerous bone tumor that begins in cartilage </b>and is located in the {{c1::epiphysis}}"	"<img src=""paste-3f2e3da049efe900d70b6fb1f24bcc39ef2d4995.jpg"">"										MillerReview::Ch9::Section1
"{{c1::Clear cell chondrosarcoma}}<span style=""color: rgb(32, 33, 36);"">&nbsp;is&nbsp;</span><b>a rare&nbsp;cartilaginous tumor&nbsp;of low-grade malignancy&nbsp;</b>found at the&nbsp;{{c2::epiphysis}}"	"<img src=""paste-44c389d652a60f523efee1195fd4b0d83caad504.jpg"">"										MillerReview::Ch9::Section1
<b>Osteosarcoma</b>, <b>chondrosarcoma </b>and <b>mets </b>usually occur in the {{c1::metaphysis}}	"<img src=""paste-557e18b539def8e035f6b4640c483fb484789d00.jpg"">"										MillerReview::Ch9::Section1
<b>Diaphyseal tumors </b>can be remembered with AEIOUY: {{c1::Adamantinoma}}, {{c2::eosinophilic granuloma}}, {{c3::infection}}, {{c4::osteoid osteoma/osteoblastoma}}, {{c5::Ewing sarcoma}}, {{c6::mYeloma, lYmphoma, fibrous dYsplasia::3}}	"<img src=""paste-557e18b539def8e035f6b4640c483fb484789d00.jpg"">"										MillerReview::Ch9::Section1
"<span style=""color: rgb(32, 33, 36);"">A&nbsp;</span>{{c2::<b>eosinophilic granuloma</b>}}<span style=""color: rgb(32, 33, 36);"">&nbsp;is a&nbsp;</span><b>benign bone tumor</b><span style=""color: rgb(32, 33, 36);"">. It's the mildest form of&nbsp;</span>{{c1::<b>Langerhans cell histiocytosis</b>}}<span style=""color: rgb(32, 33, 36);"">, a rare disease that causes your body to produce too many immune cells.</span>"	"<span style=""color: rgb(32, 33, 36);"">&nbsp;Eosinophilic granulomas usually affect kids under 10; can mimic a lot of other pathologies&nbsp;</span><div><img src=""paste-2292602537865cb59531e695c285496ec19e899e.jpg""><span style=""color: rgb(32, 33, 36);""><br></span></div>"										MillerReview::Ch9::Section1
"{{c1::Fibrous dysplasia}}<span style=""color: rgb(32, 33, 36);"">&nbsp;is&nbsp;</span><b>an uncommon bone disorder in which scar-like tissue develops in place of normal bone</b><span style=""color: rgb(32, 33, 36);"">.&nbsp;</span>"	"<span style=""color: rgb(32, 33, 36);"">This irregular tissue can weaken the affected bone and cause it&nbsp;</span><b>to deform or fracture<br></b><img src=""paste-94048bf8023e25a7b90ccad2b752f0307deec6f2.jpg""><b><br></b>"										MillerReview::Ch9::Section1
What&nbsp;<u>dermatome</u>&nbsp;includes<b>&nbsp;</b>the <b>medial 2 digits?<br><br></b>{{c1::C8}}<b><br></b>	"<img src=""paste-1487695066955777.jpg""><br><img src=""paste-f9600a65dda2cffed9eb3ee66bc5947d084976b3.jpg"">"										
6 dorsal extensor compartments of this wrist are as follows:&nbsp;<br>compartment 1 (most radial) {{c1::APL and EPB}}<br>compartment 2: {{c2::ECRB and ECRL}}<br>compartment 3: {{c3::EPL (pulley across listners tubercle}}<br>compartment 4: {{c4::Extensor Digitorum, Extensor Indicis}}<br>comparment 5: {{c5::EDM}}<br>compartment 6: {{c6::ECU}}	"<img src=""paste-468fc5d18f7dcb78b76a9f396831228513dacb45.jpg"">"										
<b>Humerus shaft fractures </b>are treated <b>nonoperatively </b>with a sling unless there is &gt; {{c2::3 cm}} of shortening, &gt;{{c1::30}}<sup>o</sup>&nbsp;of valgus/varus angulation, &gt;{{c1::20}}<sup>o </sup>of AP angulation	"ORIF or plates can be used to fixate fracture if parameters are met<br><img src=""paste-b05b1ca7a920c08f8e4df5959b5928e41da5bc2c.jpg"">"										Ortho::Clerkships
Proximal humeral head fractures are classified with the {{c1::Neer}} classification which is based on how many parts are fractured: {{c2::<b>greater</b>}} and {{c2::<b>lesser</b> <b>tuberosities</b>}}, {{c3::humeral shaft}}, and {{c3::humeral head}}.	"&nbsp;■ A part is defined as displaced if there is &gt;1 cm of fracture displacement or &gt;45 degrees of
angulation.<br><img src=""paste-a3a1b91a7a202befacf543f48f9ce4df762994a5.jpg"">"										Handbookoffractures
<u><b>One</b>-</u><b><u>part</u> </b>fractures of the <b>proximal humeral head</b>&nbsp;meaning it is <b>non-displaced</b>&nbsp;fragments regardless of number of fracture lines and treatment is {{c1::non-operative: immobilization with a sling and treated with ROM exercises/PT}}	"return to near full range of motion by 1 year<br><img src=""paste-023baf67e2c48a3d75d1d719bbcf6ec8ec56611e.jpg"">"										Ortho::Handbookoffractures
<u><b>Two</b>-</u><b><u>part</u>&nbsp;</b>fractures of the&nbsp;<b>proximal humeral head at the&nbsp;</b>{{c2::surgical neck}} can be treated non-operatively or if operative then treat with {{c1::CRPP}} if nondisplaced or {{c1::ORIF}} if displaced&nbsp;	operative indications are controversial&nbsp;<br>Intramedullary nails can also be used										Ortho::Handbookoffractures
